         6673132 function calls (6671433 primitive calls) in 16.109 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      260    0.014    0.000    0.018    0.000 Fiber.py:472(writeLocs)
    29606    0.014    0.000    0.054    0.000 fromnumeric.py:541(swapaxes)
    28746    0.014    0.000    0.014    0.000 _internal.py:471(_view_is_safe)
     8054    0.014    0.000    0.051    0.000 fromnumeric.py:41(_wrapit)
    47755    0.014    0.000    0.022    0.000 linalg.py:121(isComplexType)
      680    0.013    0.000    0.013    0.000 Fiber.py:484(cart2sph)
    43455    0.013    0.000    0.013    0.000 {method 'format' of 'str' objects}
      680    0.012    0.000    0.020    0.000 Fiber.py:451(getNLargs)
    20192    0.012    0.000    0.012    0.000 linalg.py:203(_assertRankAtLeast2)
    15398    0.012    0.000    0.013    0.000 {numpy.empty}
      454    0.012    0.000    0.047    0.000 Fluid.py:334(specialWts32)
    13760    0.012    0.000    0.020    0.000 shape_base.py:83(atleast_2d)
        1    0.012    0.012   16.109   16.109 SBTMain.py:1(<module>)
        1    0.012    0.012    0.030    0.030 __init__.py:220(<module>)
     1132    0.012    0.000    0.012    0.000 {built-in method rf_iguess}
     2580    0.011    0.000    0.040    0.000 Fiber.py:496(deAliasInt)
158671/158399    0.011    0.000    0.012    0.000 {len}
   113285    0.011    0.000    0.011    0.000 {isinstance}
    19762    0.011    0.000    0.011    0.000 linalg.py:209(_assertNdSquareness)
      250    0.011    0.000    0.011    0.000 chebfcns.py:110(intMat)
    26001    0.010    0.000    0.014    0.000 linalg.py:134(_realType)
     1992    0.010    0.000    0.017    0.000 linalg.py:2293(norm)
      172    0.010    0.000    0.032    0.000 lil.py:470(tocsr)
     5792    0.010    0.000    0.015    0.000 collections.py:121(values)
     5800    0.010    0.000    0.011    0.000 collections.py:81(__delitem__)
      172    0.009    0.000    0.015    0.000 lil.py:87(__init__)
        1    0.009    0.009    0.017    0.017 overrides.py:1(<module>)
    72978    0.009    0.000    0.009    0.000 base.py:86(get_shape)
      222    0.008    0.000    0.161    0.001 EwaldStuff.py:179(binsbyP)
        1    0.008    0.008    0.012    0.012 __init__.py:635(<module>)
     5802    0.008    0.000    0.008    0.000 collections.py:71(__setitem__)
    17591    0.008    0.000    0.012    0.000 {sum}
        1    0.007    0.007    0.285    0.285 Fiber.py:1(<module>)
        1    0.007    0.007    0.032    0.032 __init__.py:7(<module>)
      432    0.007    0.000    0.016    0.000 function_base.py:37(linspace)
     5802    0.007    0.000    0.057    0.000 helper.py:313(_prune_cache)
        2    0.007    0.004    0.018    0.009 __init__.py:45(<module>)
    14373    0.007    0.000    0.025    0.000 numeric.py:594(ascontiguousarray)
     4634    0.007    0.000    0.461    0.000 Fiber.py:425(newWeights)
        1    0.006    0.006    0.009    0.009 __init__.py:15(<module>)
      250    0.006    0.000    0.015    0.000 numeric.py:1701(cross)
        1    0.006    0.006    0.009    0.009 __init__.py:57(<module>)
    14373    0.006    0.000    0.008    0.000 arraysetops.py:138(_unpack_tuple)
      430    0.006    0.000    0.006    0.000 Fluid.py:46(evalU0)
      454    0.005    0.000    0.021    0.000 decomp_lu.py:90(lu_solve)
    12973    0.005    0.000    0.005    0.000 {max}
      344    0.005    0.000    0.015    0.000 coo.py:261(_check)
        1    0.005    0.005    0.019    0.019 numeric.py:1(<module>)
    17376    0.005    0.000    0.005    0.000 collections.py:90(__iter__)
        1    0.005    0.005    0.006    0.006 __init__.py:151(<module>)
    10459    0.005    0.000    0.005    0.000 type_check.py:124(real)
    23168    0.005    0.000    0.005    0.000 helper.py:320(<genexpr>)
     2092    0.005    0.000    0.019    0.000 fromnumeric.py:69(_wrapreduction)
       25    0.004    0.000    0.004    0.000 {built-in method CLForces}
        1    0.004    0.004    0.005    0.005 basic.py:7(<module>)
    27259    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
        1    0.004    0.004    0.004    0.004 hashlib.py:56(<module>)
      470    0.004    0.000    0.122    0.000 chebfcns.py:67(diffMat)
     2069    0.004    0.000    0.004    0.000 getlimits.py:497(__init__)
        1    0.004    0.004    0.006    0.006 csr.py:1(<module>)
        1    0.004    0.004    0.009    0.009 npyio.py:1(<module>)
     2264    0.004    0.000    0.261    0.000 chebfcns.py:162(coeffs)
     1315    0.004    0.000    0.021    0.000 numerictypes.py:602(find_common_type)
        1    0.004    0.004    0.026    0.026 _util.py:1(<module>)
        1    0.003    0.003    0.014    0.014 index_tricks.py:1(<module>)
    16645    0.003    0.000    0.003    0.000 {method 'write' of 'file' objects}
     1032    0.003    0.000    0.009    0.000 sputils.py:120(get_index_dtype)
      430    0.003    0.000    0.054    0.000 Fiber.py:310(subtractRPY)
        1    0.003    0.003    0.006    0.006 __init__.py:41(<module>)
        1    0.003    0.003    0.009    0.009 __init__.py:44(<module>)
    27972    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
        1    0.003    0.003    0.018    0.018 EwaldStuff.py:1(<module>)
   228/44    0.003    0.000    0.008    0.000 sre_parse.py:395(_parse)
     1500    0.003    0.000    0.004    0.000 numeric.py:1557(normalize_axis_tuple)
        1    0.003    0.003    0.008    0.008 random.py:40(<module>)
       25    0.003    0.000    0.139    0.006 ExForces.py:153(CLForce)
        1    0.003    0.003    0.005    0.005 collections.py:11(<module>)
       10    0.003    0.000    0.004    0.000 collections.py:305(namedtuple)
